SBSZ05	ADMIRALTY
PLSZ04	AIRPORT ROAD
BMSZ07	ALEXANDRA HILL
BMSZ06	ALEXANDRA NORTH
GLSZ04	ALJUNIED
BTSZ01	ANAK BUKIT
SESZ04	ANCHORVALE
AMSZ01	ANG MO KIO TOWN CENTRE
DTSZ10	ANSON
NVSZ01	BALESTIER
BPSZ04	BANGKIT
DTSZ12	BAYFRONT SUBZONE
BDSZ08	BAYSHORE
BDSZ04	BEDOK NORTH
BDSZ02	BEDOK RESERVOIR
BDSZ06	BEDOK SOUTH
RCSZ09	BENCOOLEN
KLSZ01	BENDEMEER
PNSZ03	BENOI SECTOR
BSSZ03	BISHAN EAST
SRSZ03	BOAT QUAY
KLSZ03	BOON KENG
JWSZ02	BOON LAY PLACE
TPSZ04	BOON TECK
ORSZ02	BOULEVARD
TPSZ03	BRADDELL
MUSZ03	BRAS BASAH
BKSZ03	BRICKWORKS
DTSZ01	BUGIS
BKSZ07	BUKIT BATOK CENTRAL
BKSZ08	BUKIT BATOK EAST
BKSZ09	BUKIT BATOK SOUTH
BKSZ06	BUKIT BATOK WEST
BMSZ09	BUKIT HO SWEE
BMSZ02	BUKIT MERAH
NTSZ04	CAIRNHILL
DTSZ08	CECIL
DTSZ11	CENTRAL SUBZONE
CCSZ01	CENTRAL WATER CATCHMENT
CHSZ03	CHANGI AIRPORT
CBSZ01	CHANGI BAY
CHSZ01	CHANGI POINT
CHSZ02	CHANGI WEST
TNSZ02	CHATSWORTH
AMSZ02	CHENG SAN
JWSZ05	CHIN BEE
OTSZ04	CHINA SQUARE
OTSZ03	CHINATOWN
CKSZ03	CHOA CHU KANG CENTRAL
CKSZ05	CHOA CHU KANG NORTH
AMSZ03	CHONG BOON
DTSZ02	CITY HALL
BMSZ17	CITY TERMINALS
SRSZ02	CLARKE QUAY
CLSZ06	CLEMENTI CENTRAL
CLSZ04	CLEMENTI NORTH
CLSZ08	CLEMENTI WEST
CLSZ07	CLEMENTI WOODS
DTSZ06	CLIFFORD PIER
QTSZ03	COMMONWEALTH
SESZ05	COMPASSVALE
BTSZ06	CORONATION ROAD
KLSZ09	CRAWFORD
BPSZ06	DAIRY FARM
HGSZ09	DEFU INDUSTRIAL PARK
BMSZ12	DEPOT ROAD
MUSZ01	DHOBY GHAUT
QTSZ10	DOVER
NVSZ04	DUNEARN
BMSZ16	EVERTON PARK
CLSZ03	FABER
BPSZ03	FAJAR
BTSZ08	FARRER COURT
